time        position    velocity    acc         throttle    brake       thrust      drag        brake_force 
0.59        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.60        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.61        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.62        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.63        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.64        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.65        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.66        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.67        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.68        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.69        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.70        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.71        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.72        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.73        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.74        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.75        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.76        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.77        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.78        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.79        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.80        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.81        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.82        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.83        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.84        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.85        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.86        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.87        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.88        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.89        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.90        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.91        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.92        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.93        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.94        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.95        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.96        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.97        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.98        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
0.99        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.00        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.01        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.02        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.03        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.04        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.05        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.06        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.07        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.08        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.09        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.10        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.11        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.12        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.13        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.14        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.15        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.16        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.17        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.18        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.19        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.20        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.21        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.22        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.23        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.24        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.25        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.26        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.27        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.28        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.29        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.30        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.31        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.32        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.33        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.34        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.35        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.36        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.37        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.38        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.39        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.40        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.41        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.42        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.43        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.44        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.45        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.46        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.47        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.48        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.49        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.50        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.51        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.52        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.53        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.54        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.55        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.56        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.57        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.58        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.59        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.60        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.61        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.62        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.63        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.64        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.65        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.66        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.67        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.68        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.69        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.70        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.71        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.72        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.73        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.74        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.75        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.76        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.77        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.78        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.79        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.80        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.81        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.82        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.83        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.84        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.85        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.86        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.87        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.88        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.89        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.90        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.91        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.92        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.93        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.94        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.95        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.96        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.97        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.98        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
1.99        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.00        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.01        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.02        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.03        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.04        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.05        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.06        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.07        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.08        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.09        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.10        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.11        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.12        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.13        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.14        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.15        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.16        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.17        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.18        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.19        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.20        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.21        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.22        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.23        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.24        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.25        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.26        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.27        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.28        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.29        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.30        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.31        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.32        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.33        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.34        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.35        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.36        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.37        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.38        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.39        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.40        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.41        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.42        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.43        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.44        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.45        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.46        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.47        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.48        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.49        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.50        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.51        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.52        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.53        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.54        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.55        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.56        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.57        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.58        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.59        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.60        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.61        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.62        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.63        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.64        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.65        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.66        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.67        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.68        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.69        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.70        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.71        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.72        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.73        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.74        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.75        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.76        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.77        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.78        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.79        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.80        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.81        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.82        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.83        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.84        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.85        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.86        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.87        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.88        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.89        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.90        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.91        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.92        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.93        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.94        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.95        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.96        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.97        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.98        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
2.99        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.00        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.01        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.02        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.03        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.04        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.05        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.06        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.07        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.08        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.09        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.10        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.11        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.12        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.13        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.14        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.15        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.16        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.17        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.18        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.19        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.20        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.21        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.22        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.23        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.24        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.25        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.26        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.27        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.28        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.29        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.30        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.31        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.32        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.33        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.34        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.35        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.36        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.37        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.38        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.39        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.40        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.41        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.42        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.43        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.44        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.45        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.46        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.47        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.48        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.49        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.50        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.51        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.52        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.53        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.54        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.55        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.56        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.57        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.58        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.59        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.60        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.61        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.62        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.63        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.64        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
3.65        30.00       0.00        0.00        0.0000      0.00        0.00        0.00        0.00        
